Title,Main Story,Main + Extras,Completionist
One Piece: Unlimited World Red - Deluxe Edition,9.21,19.66,52.58
Pikuniku,3.1,3.87,6.15
Sairento VR,2.11,4.75,0.0

A-Tech Cybernetic VR,2.83,3.33,3.55
64.0,1.77,8.3,26.67

We Were Here,1.66,2.05,2.63

I Expect You To Die,3.12,4.04,5.58

Styx: Shards of Darkness,12.3,17.0,28.38
Immortal Redneck,16.64,20.9,63.01

Clone Drone in the Danger Zone,2.16,15.15,29.91
Unto The End,3.43,3.84,4.79
Valfaris,7.26,9.27,12.98
The Surge,20.72,28.79,50.15
Fallout 4 VR,27.51,82.72,160.01
The Elder Scrolls V: Skyrim VR,21.62,80.81,179.75
Wolfenstein II: The New Colossus,10.76,17.08,33.05
SUPERHOT VR,1.96,3.22,6.86
planetarian HD,3.1,3.97,3.98
Sword Art Online: Fatal Bullet,25.87,52.39,129.79
Risk of Rain 2,10.78,43.76,145.26
Disco Elysium,23.68,33.02,47.11
Distrust,4.89,13.31,37.31
Raft,25.68,35.98,66.9
Loading Screen Simulator,0.64,1.16,1.84
The Monster Inside,0.25,0.26,0.35
Bugsnax,7.91,11.58,15.11
Splitgate,14.42,132.21,0.0
Jotun: Valhalla Edition,5.16,5.67,7.41
Nowhere Prophet,6.24,16.76,0.0
Shoppe Keep 2,0.0,11.1,20.16
Killing Floor: Incursion,3.67,4.97,0.0
BRINK,0.0,0.0,0.0
Last Day of June,3.11,3.54,4.02
Divinity: Original Sin 2,59.11,100.97,156.46
Borderlands GOTY,20.71,35.99,76.02
Borderlands GOTY Enhanced,20.71,35.99,76.02

11-11 Memories Retold,5.08,6.21,11.3
Phasmophobia,20.21,39.66,130.65
Drake Hollow,12.11,16.3,22.32
Call of Duty: WWII,7.03,9.52,18.66

Ring of Elysium,10.0,103.05,0.0

Learn Japanese To Survive! Kanji Combat,12.0,15.05,19.53

Kingdom: Classic,8.12,13.21,24.37
Hero of the Kingdom III,6.11,6.96,9.0
Bomber Crew,15.33,18.34,27.38
AX:EL,0.0,4.5,6.08
Cortex Command,1.53,4.11,15.37
Rust,26.92,105.78,127.04

Assetto Corsa Competizione,13.43,106.35,336.25
Radical Heights,0.0,0.0,0.0
Realm Royale Reforged,5.0,20.4,20.55


Totally Accurate Battlegrounds,2.55,3.42,14.26
Far Cry 5,18.19,30.94,47.43
HROT,5.42,7.47,12.01
Swords of Gurrah,0.0,0.0,0.0
Pillars of Eternity II: Deadfire,42.96,65.02,97.25
Double Cross,5.74,7.19,10.21

Crusader Kings II,65.69,238.02,440.97
Siralim 3,28.49,1729.0,0.0

killer7,13.97,15.68,21.86
Resort Boss: Golf,0.0,0.0,0.0
Quake Champions,16.36,40.0,0.0
Cultist Simulator,19.09,40.2,81.83
Prey,16.22,28.01,46.31
Prey: Typhon Hunter,1.38,0.0,10.08
